season,team,conference,statName,statValue
2025,New Mexico,Mountain West,tacklesForLoss,77
2025,New Mexico,Mountain West,tacklesForLossOpponent,64
2025,New Mexico,Mountain West,thirdDownConversions,65
2025,New Mexico,Mountain West,thirdDownConversionsOpponent,72
2025,New Mexico,Mountain West,thirdDowns,165
2025,New Mexico,Mountain West,thirdDownsOpponent,179
2025,New Mexico,Mountain West,totalYards,4643
2025,New Mexico,Mountain West,totalYardsOpponent,4462
2025,New Mexico,Mountain West,turnovers,23
2025,New Mexico,Mountain West,turnoversOpponent,17
2025,New Mexico State,Conference USA,firstDowns,244
2025,New Mexico State,Conference USA,firstDownsOpponent,259
2025,New Mexico State,Conference USA,fourthDownConversions,7
2025,New Mexico State,Conference USA,fourthDownConversionsOpponent,8
2025,New Mexico State,Conference USA,fourthDowns,17
2025,New Mexico State,Conference USA,fourthDownsOpponent,17
2025,New Mexico State,Conference USA,fumblesLost,8
2025,New Mexico State,Conference USA,fumblesLostOpponent,8
2025,New Mexico State,Conference USA,fumblesRecovered,8
2025,New Mexico State,Conference USA,fumblesRecoveredOpponent,8
2025,New Mexico State,Conference USA,games,12
2025,New Mexico State,Conference USA,interceptions,16
2025,New Mexico State,Conference USA,interceptionsOpponent,15
2025,New Mexico State,Conference USA,interceptionTDs,1
2025,New Mexico State,Conference USA,interceptionTDsOpponent,1
2025,New Mexico State,Conference USA,interceptionYards,164
2025,New Mexico State,Conference USA,interceptionYardsOpponent,218
2025,New Mexico State,Conference USA,kickReturns,15
2025,New Mexico State,Conference USA,kickReturnsOpponent,20
2025,New Mexico State,Conference USA,kickReturnTDs,0
2025,New Mexico State,Conference USA,kickReturnTDsOpponent,1
2025,New Mexico State,Conference USA,kickReturnYards,282
2025,New Mexico State,Conference USA,kickReturnYardsOpponent,375
2025,New Mexico State,Conference USA,netPassingYards,3004
2025,New Mexico State,Conference USA,netPassingYardsOpponent,2843
2025,New Mexico State,Conference USA,passAttempts,472
2025,New Mexico State,Conference USA,passAttemptsOpponent,408
2025,New Mexico State,Conference USA,passCompletions,276
2025,New Mexico State,Conference USA,passCompletionsOpponent,260
2025,New Mexico State,Conference USA,passesIntercepted,15
2025,New Mexico State,Conference USA,passesInterceptedOpponent,16
2025,New Mexico State,Conference USA,passingTDs,17
2025,New Mexico State,Conference USA,passingTDsOpponent,25
2025,New Mexico State,Conference USA,penalties,74
2025,New Mexico State,Conference USA,penaltiesOpponent,98
2025,New Mexico State,Conference USA,penaltyYards,653
2025,New Mexico State,Conference USA,penaltyYardsOpponent,919
2025,New Mexico State,Conference USA,possessionTime,21670
2025,New Mexico State,Conference USA,possessionTimeOpponent,21498
2025,New Mexico State,Conference USA,puntReturns,17
2025,New Mexico State,Conference USA,puntReturnsOpponent,20
2025,New Mexico State,Conference USA,puntReturnTDs,0
2025,New Mexico State,Conference USA,puntReturnTDsOpponent,0
2025,New Mexico State,Conference USA,puntReturnYards,92
2025,New Mexico State,Conference USA,puntReturnYardsOpponent,95
2025,New Mexico State,Conference USA,rushingAttempts,356
2025,New Mexico State,Conference USA,rushingAttemptsOpponent,448
2025,New Mexico State,Conference USA,rushingTDs,9
2025,New Mexico State,Conference USA,rushingTDsOpponent,14
2025,New Mexico State,Conference USA,rushingYards,929
2025,New Mexico State,Conference USA,rushingYardsOpponent,1982
2025,New Mexico State,Conference USA,sacks,18
2025,New Mexico State,Conference USA,sacksOpponent,34
2025,New Mexico State,Conference USA,tacklesForLoss,60
2025,New Mexico State,Conference USA,tacklesForLossOpponent,77
2025,New Mexico State,Conference USA,thirdDownConversions,78
2025,New Mexico State,Conference USA,thirdDownConversionsOpponent,74
2025,New Mexico State,Conference USA,thirdDowns,187
2025,New Mexico State,Conference USA,thirdDownsOpponent,180
2025,New Mexico State,Conference USA,totalYards,3933
2025,New Mexico State,Conference USA,totalYardsOpponent,4825
2025,New Mexico State,Conference USA,turnovers,24
2025,New Mexico State,Conference USA,turnoversOpponent,23
2025,North Carolina,ACC,firstDowns,199
2025,North Carolina,ACC,firstDownsOpponent,250
2025,North Carolina,ACC,fourthDownConversions,11
2025,North Carolina,ACC,fourthDownConversionsOpponent,24
2025,North Carolina,ACC,fourthDowns,15
2025,North Carolina,ACC,fourthDownsOpponent,32
2025,North Carolina,ACC,fumblesLost,9
