season,team,incoming_count,incoming_rated_count,incoming_rating_sum,incoming_rating_mean,incoming_star_count,incoming_stars_sum,incoming_stars_mean,incoming_2star_count,incoming_3star_count,incoming_4star_count,incoming_5star_count,outgoing_count,outgoing_rated_count,outgoing_rating_sum,outgoing_rating_mean,outgoing_star_count,outgoing_stars_sum,outgoing_stars_mean,outgoing_2star_count,outgoing_3star_count,outgoing_4star_count,outgoing_5star_count
2025,Bryant,5,0,0.0,,3,6.0,2.0,3,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,Bucknell,4,0,0.0,,3,9.0,3.0,0,3,0,0,5,2,1.6600000000000001,0.8300000000000001,3,9.0,3.0,0,3,0,0
2025,Buffalo,8,3,2.45,0.8166666666666668,4,11.0,2.75,1,3,0,0,10,2,1.61,0.805,7,19.0,2.7142857142857144,2,5,0,0
2025,Butler,4,0,0.0,,3,7.0,2.3333333333333335,2,1,0,0,4,3,2.5,0.8333333333333334,4,11.0,2.75,1,3,0,0
2025,CSU-Pueblo,2,0,0.0,,2,7.0,3.5,0,1,1,0,0,0,,,0,,,0,0,0,0
2025,Cal Poly,8,0,0.0,,8,22.0,2.75,2,6,0,0,7,5,4.16,0.8320000000000001,7,21.0,3.0,0,7,0,0
2025,California,36,31,26.56,0.856774193548387,34,102.0,3.0,1,32,1,0,34,24,20.44,0.8516666666666667,31,95.0,3.064516129032258,2,25,4,0
2025,California (PA),0,0,,,0,,,0,0,0,0,4,2,1.68,0.84,2,6.0,3.0,0,2,0,0
2025,Campbell,7,0,0.0,,4,12.0,3.0,0,4,0,0,11,7,5.93,0.8471428571428571,11,32.0,2.909090909090909,1,10,0,0
2025,Campbellsville,0,0,,,0,,,0,0,0,0,2,0,0.0,,0,0.0,,0,0,0,0
2025,Carson Newman,1,0,0.0,,0,0.0,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,Central Arkansas,10,0,0.0,,7,20.0,2.857142857142857,1,6,0,0,3,3,2.53,0.8433333333333333,3,9.0,3.0,0,3,0,0
2025,Central Connecticut,2,0,0.0,,1,3.0,3.0,0,1,0,0,1,1,0.91,0.91,1,4.0,4.0,0,0,1,0
2025,Central Michigan,10,6,4.99,0.8316666666666667,7,21.0,3.0,0,7,0,0,19,7,5.859999999999999,0.8371428571428571,17,53.0,3.1176470588235294,0,15,2,0
