gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
400933838,2017,1,regular,UCLA,Pac-12,home,45,2,-1,0,1,4,115,0,6,9,,,,0,3,8,0,61,6,0,12,23:38,0,3,3,7-56,2.5,25,63,8.3,35-59,491,554,2-3,6-16,28
400935248,2017,1,regular,North Dakota,Big Sky,away,16,0,,,,1,46,0,2,10,0,0,1,0,,8,0,53,3,0,2,25:34,1,0,1,5-45,2.0,28,55,6.0,14-31,187,242,0-0,5-16,12
400935248,2017,1,regular,Utah,Pac-12,home,37,3,18,0,2,1,19,0,1,13,17,0,1,0,1,6,0,25,1,0,6,34:26,1,0,1,11-135,5.8,47,272,7.1,23-32,227,499,1-1,6-14,27
400935251,2017,1,regular,Northern Arizona,Big Sky,away,24,3,1,0,2,0,25,0,1,6,,,,0,1,3,0,48,0,0,4,34:15,2,1,3,9-78,4.4,42,185,7.5,27-50,377,562,1-3,10-19,29
400935251,2017,1,regular,Arizona,Pac-12,home,62,7,71,1,2,1,132,0,5,8,0,0,2,1,0,3,1,59,2,0,2,25:45,0,0,0,9-81,10.8,47,506,6.4,7-14,89,595,2-2,3-11,23
400935249,2017,1,regular,Colorado State,Mountain West,away,3,0,,,,0,,,,3,0,0,2,0,1,8,0,52,5,0,0,31:17,2,1,3,10-120,2.7,33,88,6.6,24-47,309,397,0-3,9-18,23
400935249,2017,1,regular,Colorado,Pac-12,home,17,1,,,,1,,,,5,0,0,2,1,0,6,0,57,2,5,7,28:43,2,0,2,7-59,3.8,38,143,7.0,21-29,202,345,0-0,7-14,19
400938592,2017,1,regular,Navy,American Athletic,away,42,5,6,0,2,1,,,,6,23,0,2,0,2,8,0,27,2,0,2,39:47,1,1,2,2-20,6.1,68,416,11.0,3-10,110,526,2-2,9-17,23
400938592,2017,1,regular,Florida Atlantic,Conference USA,home,19,0,,,,2,24,0,3,7,0,0,1,1,1,4,0,46,0,0,2,20:13,2,0,2,4-20,1.7,24,40,8.7,21-33,286,326,0-1,5-14,16
400938591,2017,1,regular,UCF,American Athletic,home,61,4,50,0,4,4,71,0,4,9,29,0,1,3,2,3,0,30,1,3,5,35:29,1,1,2,9-65,3.3,45,148,13.3,26-33,439,587,3-3,4-13,31
400938591,2017,1,regular,Florida International,Conference USA,away,17,1,,,,1,110,0,4,5,33,0,1,1,3,8,0,44,0,2,1,24:31,1,3,4,14-163,5.2,26,134,6.5,18-31,201,335,2-2,2-12,13
400938595,2017,1,regular,Lamar,Southland,away,14,0,,,,2,220,0,9,2,,,,0,2,4,0,58,2,3,2,21:06,1,1,2,3-15,2.6,33,86,4.4,20-41,180,266,2-4,4-18,15
400938595,2017,1,regular,North Texas,Conference USA,home,59,5,4,0,4,3,29,0,1,11,0,0,1,0,1,5,0,39,2,7,5,38:54,0,1,1,5-40,7.3,60,436,9.7,17-24,232,668,2-3,3-11,31
400938593,2017,1,regular,Northwestern State,Southland,away,24,1,11,0,1,2,135,0,6,6,,,,0,3,3,0,39,1,1,5,32:38,2,1,3,8-54,4.0,33,133,6.4,20-40,256,389,0-0,3-14,22
400938593,2017,1,regular,Louisiana Tech,Conference USA,home,52,3,86,1,4,2,103,0,5,10,26,0,2,1,3,6,1,43,3,7,2,27:22,0,3,3,5-50,6.0,37,221,7.9,18-35,276,497,0-1,7-15,22
400938599,2017,1,regular,Eastern Kentucky,OVC,away,17,0,,,,2,73,0,3,5,,,,0,2,8,0,47,3,1,2,30:22,0,0,0,5-65,1.1,22,25,6.7,29-48,320,345,1-2,8-15,22
400938599,2017,1,regular,Western Kentucky,Conference USA,home,31,3,2,0,1,1,7,0,1,7,,,,0,2,4,0,33,1,2,4,29:38,0,1,1,3-25,2.5,40,100,8.5,20-31,264,364,3-3,10-17,20
400944891,2017,1,regular,Eastern Michigan,Mid-American,home,24,2,12,0,2,0,36,0,2,6,46,1,3,0,1,7,1,26,2,1,6,33:03,1,1,2,10-70,3.1,41,126,8.6,22-31,267,393,0-1,7-15,19
400944891,2017,1,regular,Charlotte,Conference USA,away,7,0,-1,0,1,1,85,0,4,1,0,0,1,1,1,5,0,33,1,5,4,26:57,3,0,3,11-103,4.7,35,166,3.9,12-29,114,280,0-1,5-16,13
400941793,2017,1,regular,Tulane,American Athletic,home,43,3,-1,0,2,3,100,0,3,7,0,0,1,0,1,8,0,32,4,0,5,36:14,0,0,0,8-75,5.8,51,296,12.3,10-15,185,481,0-0,7-11,26
400941793,2017,1,regular,Grambling,SWAC,away,14,2,,,,0,125,0,7,2,,,,0,2,6,0,52,1,0,1,23:46,1,0,1,11-80,3.5,22,77,5.5,15-27,148,225,1-1,4-12,10
400941787,2017,1,regular,Cincinnati,American Athletic,home,26,1,42,0,4,3,41,0,2,2,2,0,1,0,2,10,0,30,1,1,2,22:19,0,0,0,7-70,3.3,29,97,5.4,17-28,151,248,0-0,3-11,15
400941787,2017,1,regular,Austin Peay,OVC,away,14,1,1,0,1,1,58,0,3,2,,,,0,4,2,0,23,0,0,2,37:41,1,1,2,10-87,3.7,60,224,4.7,9-19,89,313,3-5,3-16,20
400933827,2017,1,regular,Florida State,ACC,away,7,0,,,,1,20,0,2,1,,,,0,1,4,0,26,2,0,1,27:13,2,1,3,4-30,1.5,27,40,6.4,19-33,210,250,0-1,4-13,15
400933827,2017,1,regular,Alabama,SEC,home,24,1,19,0,1,1,15,0,1,10,0,0,2,1,,9,0,30,3,0,6,32:47,0,0,0,5-30,4.1,42,173,5.3,10-18,96,269,2-2,3-16,13
400933834,2017,1,regular,South Alabama,Sun Belt,away,27,2,0,0,1,1,16,0,2,9,,,,1,1,3,0,41,2,0,2,31:51,0,0,0,3-22,4.6,37,170,6.6,19-31,204,374,1-2,1-10,25
400933834,2017,1,regular,Ole Miss,SEC,home,47,1,7,0,2,4,164,1,3,11,,,,0,1,6,1,36,1,1,4,28:09,0,1,1,7-45,3.5,29,102,12.3,28-35,429,531,1-1,6-11,23
400933835,2017,1,regular,Charleston Southern,Big South,away,0,0,,,,0,63,0,4,,,,,0,3,5,0,34,0,6,5,27:35,0,0,0,4-30,0.5,39,18,1.9,3-8,15,33,0-0,2-14,2
400933835,2017,1,regular,Mississippi State,SEC,home,49,3,22,0,3,3,75,0,2,9,,,,0,,9,0,23,1,2,1,32:25,0,0,0,7-60,5.6,50,281,7.6,20-36,274,555,1-1,6-15,29
400933828,2017,1,regular,Florida A&M,MEAC,away,7,0,,,,1,39,0,3,1,0,0,1,0,1,5,0,30,2,1,1,25:30,0,1,1,7-55,2.6,31,80,3.3,14-29,95,175,3-4,3-16,9
400933828,2017,1,regular,Arkansas,SEC,home,49,4,,,,2,37,0,2,7,,,,1,0,6,0,30,3,2,2,34:30,1,0,1,2-20,5.2,45,236,8.1,16-22,179,415,0-0,7-10,26
400935232,2017,1,regular,Illinois,Big Ten,home,24,2,55,0,3,1,29,0,2,4,21,0,1,0,1,5,0,44,3,2,4,23:27,1,0,1,3-30,2.4,30,71,7.6,10-19,145,216,1-1,2-10,14
400935232,2017,1,regular,Ball State,Mid-American,away,21,2,9,0,2,1,15,0,1,3,0,0,1,0,1,9,0,32,4,4,4,36:33,1,1,2,2-25,3.4,51,171,6.0,21-34,204,375,1-2,12-21,21
400944890,2017,1,regular,Rhode Island,CAA,away,27,0,,,,3,133,0,5,9,0,0,1,3,1,7,0,64,2,0,7,28:10,6,0,6,10-75,3.5,31,108,7.1,21-40,284,392,0-0,4-16,15
400944890,2017,1,regular,Central Michigan,Mid-American,home,30,2,,,,1,72,0,4,10,-5,0,6,0,4,5,0,39,1,3,3,31:50,1,3,4,9-87,4.9,50,246,4.7,28-54,253,499,1-1,5-20,24
400937446,2017,1,regular,Boston College,ACC,away,23,0,11,0,1,2,81,0,4,11,0,0,1,0,,2,0,33,0,0,5,33:39,1,0,1,8-79,3.0,50,148,4.5,26-42,191,339,2-2,9-24,21
400937446,2017,1,regular,Northern Illinois,Mid-American,home,20,0,17,0,3,2,48,0,3,8,0,0,1,0,,12,0,54,2,0,4,26:21,1,0,1,8-70,4.7,35,164,5.2,16-39,203,367,1-2,2-15,18
400945247,2017,1,regular,New Mexico,Mountain West,home,38,3,-11,0,1,1,47,0,2,8,108,1,2,1,2,4,1,38,2,4,5,26:21,0,2,2,4-29,6.5,40,259,12.3,12-18,222,481,1-3,3-9,21
400945247,2017,1,regular,Abilene Christian,Southland,away,14,0,,,,2,34,0,2,2,,,,2,2,5,0,34,3,0,1,33:39,2,1,3,6-48,0.4,21,8,5.0,35-55,274,282,0-1,7-18,20
400938596,2017,1,regular,Old Dominion,Conference USA,home,31,3,35,0,5,1,44,0,2,7,0,0,1,0,3,6,0,26,7,0,6,26:08,2,1,3,3-30,3.2,31,98,7.2,18-26,187,285,1-2,4-12,15
400938596,2017,1,regular,UAlbany,CAA,away,17,2,2,0,1,0,39,0,2,5,0,0,2,1,,,,,,,,33:52,1,0,1,7-65,2.8,41,115,5.2,13-31,160,275,1-2,4-15,18
400941791,2017,1,regular,South Florida,American Athletic,home,31,2,85,0,3,2,55,0,4,7,25,0,2,0,,12,0,44,5,0,5,27:39,1,0,1,5-40,3.1,49,153,5.8,19-32,186,339,1-2,10-20,21
400941791,2017,1,regular,Stony Brook,CAA,away,17,1,25,1,5,0,74,0,4,5,0,0,1,0,,11,1,54,2,0,0,32:21,2,0,2,6-53,2.6,36,92,4.0,17-34,137,229,0-0,5-17,14
400937452,2017,1,regular,Virginia,ACC,home,28,1,7,0,2,3,91,0,3,4,3,0,1,0,2,3,0,29,2,0,1,32:00,0,0,0,3-15,2.9,32,92,6.6,27-40,262,354,2-4,9-18,19
400937452,2017,1,regular,William & Mary,CAA,away,10,1,-7,0,1,0,61,0,3,4,,,,0,2,9,0,38,3,0,3,28:00,1,0,1,2-10,4.1,41,168,5.5,7-13,72,240,2-2,1-11,12
