gameId,season,week,seasonType,team,conference,homeAway,points,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,fumblesRecovered,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,totalFumbles
401240126,2020,3,regular,Coastal Carolina,Sun Belt,home,43,8,0,37,5,3,2,0,4,2,40,0,3,5,39,0,1,25:41,0,0,0,4-49,5.4,36,195,16.1,11-17,273,468,0-0,5-6,22,16,0,3,
401240126,2020,3,regular,Campbell,Big South,away,21,0,0,28,0,0,0,0,3,0,57,0,3,3,,,,34:19,1,0,1,5-33,4.1,50,205,5.5,12-25,137,342,1-2,12-19,22,,,,
401241282,2020,3,regular,South Florida,American Athletic,away,0,3,0,45,0,1,2,0,0,0,129,0,8,,,,,27:33,0,0,0,4-40,3.2,33,106,4.5,12-28,125,231,1-5,2-15,11,,,,
401241282,2020,3,regular,Notre Dame,ACC,home,52,11,1,43,2,8,6,0,6,0,14,0,1,10,,,,32:27,0,0,0,2-24,6.2,45,280,7.0,13-21,148,428,2-2,8-14,21,62,1,2,
401215301,2020,3,regular,Georgia State,Sun Belt,home,31,8,0,54,1,1,7,0,3,1,22,0,1,7,22,0,2,30:51,1,1,2,6-38,4.3,52,223,5.0,22-39,196,419,0-0,8-20,26,14,0,3,
401215301,2020,3,regular,Louisiana,Sun Belt,away,34,6,0,65,2,0,4,1,3,2,83,0,4,4,0,0,1,28:03,2,0,2,4-54,6.2,39,240,7.5,21-37,279,519,1-2,3-14,23,9,0,6,
401215302,2020,3,regular,Texas State,Sun Belt,away,38,6,1,38,2,6,5,1,2,2,25,0,2,8,100,1,1,26:47,0,1,1,6-70,3.7,38,142,12.2,14-21,256,398,0-0,6-12,20,1,0,1,
401215302,2020,3,regular,UL Monroe,Sun Belt,home,17,9,0,32,2,3,2,1,0,2,33,0,2,5,,,,33:13,1,1,2,5-47,2.6,26,67,7.1,35-53,377,444,3-5,4-15,25,17,0,2,
401234568,2020,3,regular,Georgia Tech,ACC,home,21,7,0,49,2,2,3,1,2,1,93,0,2,3,3,0,1,28:08,2,3,5,7-49,5.2,44,227,6.6,18-37,244,471,1-3,7-15,23,,,,
401234568,2020,3,regular,UCF,American Athletic,away,49,6,0,45,0,4,2,3,3,4,,,,7,9,0,2,31:52,1,1,2,8-51,4.8,51,243,10.2,27-41,417,660,1-3,10-16,31,,,,
401212522,2020,3,regular,Tulane,American Athletic,home,24,7,0,54,0,0,1,0,3,0,,,,6,,,,27:25,1,0,1,5-50,6.0,44,265,4.3,10-25,108,373,2-4,2-12,18,0,0,1,
401212522,2020,3,regular,Navy,American Athletic,away,27,6,0,46,1,1,4,0,2,1,36,0,2,2,4,0,1,31:32,0,0,0,3-45,3.6,56,204,12.2,7-12,146,350,1-2,5-16,17,2,0,1,
401234567,2020,3,regular,Duke,ACC,home,6,3,0,30,6,2,2,0,1,0,51,0,3,0,0,0,1,23:42,2,3,5,4-56,4.6,29,134,5.2,23-42,217,351,1-1,9-16,19,8,0,1,3
401234567,2020,3,regular,Boston College,ACC,away,26,3,0,42,2,3,3,3,1,2,10,0,1,8,61,0,2,36:18,1,0,1,3-32,2.0,42,84,13.0,17-23,300,384,1-2,4-12,20,-6,0,2,1
401237492,2020,3,regular,The Citadel,Southern,away,0,3,0,37,1,0,1,1,0,0,16,0,1,0,,,,34:17,0,1,1,11-75,1.8,48,87,6.9,3-11,76,163,1-2,3-16,8,,,,
401237492,2020,3,regular,Clemson,ACC,home,49,12,1,37,4,3,2,1,3,3,,,,7,,,,25:42,0,1,1,5-35,4.9,33,162,9.0,19-27,243,405,0-2,8-14,16,89,0,5,
401234570,2020,3,regular,Wake Forest,ACC,away,42,11,1,28,1,4,0,0,4,1,,,,6,45,1,1,29:01,0,1,1,3-15,3.0,49,149,6.6,23-36,236,385,2-4,7-15,32,38,0,2,
401234570,2020,3,regular,NC State,ACC,home,45,12,0,46,6,2,7,1,4,2,24,0,1,9,,,,30:59,1,0,1,6-65,5.5,49,270,8.0,17-24,193,463,0-0,6-13,24,,,,
401234569,2020,3,regular,Louisville,ACC,home,34,6,0,31,1,3,4,0,1,3,67,0,4,10,,,,38:01,1,2,3,7-70,4.3,49,209,8.5,26-36,307,516,3-4,4-14,29,,,,
401234569,2020,3,regular,Miami,ACC,away,47,10,0,63,3,4,1,2,2,3,,,,17,0,0,1,20:59,0,0,0,11-89,5.6,29,163,10.8,18-30,325,488,0-0,6-13,19,10,0,1,
401234571,2020,3,regular,Pittsburgh,ACC,home,21,13,0,36,7,1,1,1,1,2,,,,3,0,0,1,34:30,1,1,2,7-70,2.9,44,127,6.0,25-36,215,342,1-2,6-15,23,-6,0,1,
401234571,2020,3,regular,Syracuse,ACC,away,10,8,0,48,3,4,1,1,0,1,52,0,3,4,12,0,1,25:30,1,1,2,5-53,1.5,34,51,5.0,13-24,120,171,0-2,2-14,10,25,0,2,
401237033,2020,4,regular,Arkansas,SEC,home,10,4,0,43,3,4,6,1,0,1,10,0,1,4,0,0,1,24:14,3,0,3,10-53,2.8,28,77,5.2,20-39,203,280,0-1,3-14,15,,,,
401237033,2020,4,regular,Georgia,SEC,away,37,4,1,35,2,3,5,0,1,2,91,0,2,9,68,1,3,35:46,1,1,2,12-108,2.9,42,121,5.7,28-47,266,387,2-3,6-20,19,57,0,3,
401236952,2020,4,regular,Ole Miss,SEC,home,35,5,0,37,1,6,6,0,2,3,38,0,2,3,0,0,1,26:31,1,0,1,4-45,3.8,45,170,13.4,24-33,443,613,0-1,9-14,29,,,,
401236952,2020,4,regular,Florida,SEC,away,51,11,0,52,4,3,2,0,0,6,40,0,2,15,4,0,1,33:29,1,0,1,4-40,6.8,29,196,9.9,31-45,446,642,0-0,6-10,32,,,,
401237036,2020,4,regular,South Carolina,SEC,home,27,5,0,42,2,1,2,0,2,1,,,,9,,,,34:50,1,1,2,4-40,2.5,35,89,7.4,25-39,290,379,0-0,6-15,22,-1,0,1,
401237036,2020,4,regular,Tennessee,SEC,away,31,9,1,46,4,4,3,1,2,1,66,0,2,7,32,1,1,25:10,0,0,0,6-50,4.0,33,133,8.2,20-32,261,394,0-1,1-11,21,20,0,1,
401237034,2020,4,regular,Auburn,SEC,home,29,8,0,49,2,5,4,2,1,3,64,0,2,3,30,0,1,23:31,0,0,0,7-55,3.0,30,91,8.6,16-27,233,324,0-1,4-10,16,,,,
401237034,2020,4,regular,Kentucky,SEC,away,13,4,0,32,1,4,1,0,1,1,72,0,3,1,,,,36:29,1,2,3,4-40,3.6,40,145,6.3,24-38,239,384,0-2,12-19,21,6,0,1,
401237037,2020,4,regular,Texas A&M,SEC,home,17,10,0,32,2,3,4,0,1,1,7,0,1,5,35,0,2,26:01,0,3,3,8-50,6.8,27,183,6.8,17-28,189,372,0-1,4-10,17,2,0,2,
401237037,2020,4,regular,Vanderbilt,SEC,away,12,3,0,26,1,2,3,3,0,1,36,0,2,4,,,,33:59,2,0,2,3-35,2.8,38,105,5.2,20-29,150,255,1-1,7-17,17,,,,
401235997,2020,4,regular,West Virginia,Big 12,away,13,6,0,39,1,1,1,0,0,1,20,0,1,7,22,0,1,32:13,0,2,2,12-106,1.6,42,67,7.7,20-37,285,352,0-1,6-17,22,0,0,1,
401235997,2020,4,regular,Oklahoma State,Big 12,home,27,11,1,49,5,9,6,2,2,0,22,0,2,9,,,,27:47,1,0,1,7-65,5.0,41,203,6.3,15-22,139,342,0-0,7-14,20,,,,
401235996,2020,4,regular,Oklahoma,Big 12,home,35,5,0,32,1,6,5,0,1,4,22,0,1,5,,,,32:08,3,1,4,10-75,3.7,35,130,9.4,30-41,387,517,1-2,7-12,28,-3,0,2,
401235996,2020,4,regular,Kansas State,Big 12,away,38,6,0,39,3,3,2,1,4,1,71,0,4,8,4,0,3,27:52,0,0,0,13-108,2.5,26,66,13.4,18-25,334,400,2-2,2-11,10,7,0,1,
401235993,2020,4,regular,Kansas,Big 12,away,14,6,0,35,1,1,2,0,2,0,108,0,5,2,,,,31:30,0,0,0,10-80,3.9,43,169,4.8,19-33,159,328,2-4,4-14,20,,,,
401235993,2020,4,regular,Baylor,Big 12,home,47,10,2,41,4,3,6,0,3,1,208,2,3,9,,,,28:30,0,0,0,8-95,4.7,43,203,6.2,16-24,149,352,1-1,8-15,24,0,0,1,
401235994,2020,4,regular,TCU,Big 12,home,34,5,0,29,2,1,3,1,0,3,60,0,4,4,,,,32:24,1,1,2,9-61,2.5,43,106,9.5,26-39,369,475,0-1,7-15,26,27,0,2,
401235994,2020,4,regular,Iowa State,Big 12,away,37,8.5,0,51,5.5,1,1,1,4,1,18,0,1,7,0,0,1,26:58,0,1,1,3-25,7.6,28,213,9.6,18-22,211,424,0-0,3-11,14,,,,
401235995,2020,4,regular,Texas,Big 12,away,63,6,1,39,0,0,8,0,2,5,63,0,2,13,93,0,3,34:39,1,1,2,10-100,4.5,48,214,6.4,27-41,262,476,1-1,4-15,27,23,1,2,
401235995,2020,4,regular,Texas Tech,Big 12,home,56,6,2,55,2,1,8,1,2,5,,,,8,24,0,1,25:20,3,0,3,4-15,4.8,24,116,6.4,31-51,325,441,0-1,7-15,24,0,1,2,
401240194,2020,4,regular,UL Monroe,Sun Belt,home,6,5,0,29,1,2,7,1,0,1,109,0,5,0,,,,20:24,1,0,1,7-72,0.5,14,7,6.0,19-31,186,193,1-2,0-11,6,,,,
