gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected
401540199,2023,1,regular,North Alabama,UAC,away,7,1,0,38,0,3,1,,,,2,,27:25,0,0,0,8-73,4.3,36,156,3.8,12-24,92,248,2-5,4-15,12,0,0,1,,,,,,
401540213,2023,1,regular,McNeese,Southland,home,34,3,0,91,0,1,10,0,0,2,1,0,32:09,1,0,1,8-80,2.4,37,89,4.6,18-41,189,278,3-4,4-19,18,,,,,,,,,
401540213,2023,1,regular,Tarleton State,UAC,away,52,3,3,55,0,3,10,71,1,1,0,2,27:51,2,1,3,9-71,5.3,40,210,10.1,20-34,344,554,0-0,8-12,30,35,0,1,,,,,,
401520182,2023,1,regular,Florida State,ACC,home,45,2,4,0,0,1,9,0,0,1,1,0,35:23,1,0,1,7-64,4.0,34,135,11.2,24-32,359,494,1-1,9-14,22,,,,5,0,33,4,1,4
401520182,2023,1,regular,LSU,SEC,away,24,2,1,51,0,4,6,2,0,1,0,1,24:37,1,1,2,2-30,4.2,27,113,9.4,22-37,346,459,0-3,3-10,23,-3,0,1,4,0,27,0,4,2
401525463,2023,1,regular,Miami,ACC,home,38,3,1,40,0,1,12,,,,0,,32:53,1,0,1,8-60,6.9,36,250,9.7,20-25,243,493,0-0,3-7,26,4,0,3,6,0,22,3,0,4
401525463,2023,1,regular,Miami (OH),Mid-American,away,3,0,0,27,0,1,3,0,0,1,0,,27:07,0,0,0,5-49,2.0,25,51,6.8,13-24,164,215,0-3,2-12,9,-2,0,1,1,0,40,1,0,0
401532392,2023,1,regular,San Diego State,Mountain West,home,20,0,2,44,0,2,8,47,0,3,0,1,27:24,0,1,1,6-57,5.0,31,154,5.9,18-28,164,318,1-2,3-12,16,,,,3,0,46,2,10,8
401532392,2023,1,regular,Ohio,Mid-American,away,13,0,1,61,0,3,7,,,,1,0,32:36,3,0,3,6-55,3.6,31,111,5.5,26-51,279,390,2-2,7-17,25,13,0,3,5,0,26,0,4,2
401532395,2023,1,regular,Long Island University,NEC,away,10,0,1,12,0,1,4,6,0,1,1,0,26:51,2,0,2,5-40,1.5,22,34,5.2,21-33,172,206,2-4,3-13,13,,,,9,0,24,1,4,1
401532395,2023,1,regular,Ohio,Mid-American,home,27,0,3,,,,9,29,0,2,0,1,33:09,1,1,2,3-30,4.4,45,199,6.9,12-15,104,303,0-1,6-12,18,0,0,1,8,0,17,4,8,3
401525816,2023,1,regular,UCF,Big 12,home,56,5,3,,,,8,0,0,1,0,1,31:26,2,1,3,7-70,8.5,46,389,9.5,25-35,334,723,1-1,9-13,32,,,,,,,,,
401525816,2023,1,regular,Kent State,Mid-American,away,6,0,0,80,0,3,6,0,0,2,1,0,28:34,1,0,1,4-30,2.6,36,94,4.5,12-32,145,239,0-1,7-17,15,,,,,,,,,
401531387,2023,1,regular,Temple,American Athletic,home,24,1,2,51,0,3,4,2,0,1,0,,29:35,0,0,0,3-15,2.2,28,61,6.0,28-49,292,353,1-2,8-17,20,-1,0,2,4,0,37,2,0,1
401531387,2023,1,regular,Akron,Mid-American,away,21,1,2,49,0,3,3,,,,0,2,30:25,1,0,1,10-82,2.6,28,74,7.1,17-29,205,279,1-1,3-12,13,30,0,3,2.5,0,33,0,0,5
401520155,2023,1,regular,Illinois,Big Ten,home,30,1,2,77,0,5,6,48,1,1,0,,27:03,1,0,1,10-100,4.8,35,168,7.9,18-26,206,374,2-3,2-8,21,,,,5,1,50,1,1,3
401520155,2023,1,regular,Toledo,Mid-American,away,28,1,2,61,0,4,10,0,0,1,0,2,32:57,1,0,1,7-40,4.4,42,186,6.2,20-37,230,416,2-2,7-15,27,4,0,1,4,0,44,2,2,3
401531841,2023,1,regular,Troy,Sun Belt,home,48,1,4,88,0,3,12,45,1,1,0,3,32:14,1,3,4,5-43,8.1,42,342,9.0,14-22,198,540,0-0,7-12,24,7,0,2,4,1,29,0,3,2
401531841,2023,1,regular,Stephen F. Austin,UAC,away,30,2,0,99,0,5,12,6,0,1,3,0,27:46,1,0,1,3-35,3.7,28,104,4.4,18-31,136,240,0-2,4-13,17,,,,6,0,37,0,1,4
401532572,2023,1,regular,UNLV,Mountain West,home,44,5,0,158,0,3,14,8,0,1,0,1,20:56,1,1,2,6-45,6.7,40,268,5.3,15-24,126,394,0-0,9-15,20,-7,0,1,,,,,,
401532572,2023,1,regular,Bryant,Big South-OVC,away,14,2,0,95,0,6,2,0,0,1,1,0,39:04,1,0,1,6-59,4.5,40,179,7.4,19-31,230,409,1-4,4-13,19,,,,,,,,,
401520181,2023,1,regular,South Florida,American Athletic,away,24,2,1,32,0,2,6,,,,0,1,30:29,2,1,3,11-100,6.1,61,374,4.9,15-34,166,540,4-5,8-21,26,4,0,3,5,0,46,0,2,5
401520181,2023,1,regular,Western Kentucky,Conference USA,home,41,2,2,63,0,4,11,8,0,2,1,0,29:31,0,0,0,9-55,5.6,23,129,6.7,29-50,336,465,1-2,6-16,22,-1,0,1,6,0,54,5,4,6
401520177,2023,1,regular,Incarnate Word,Southland,away,14,1,1,80,0,4,2,,,,0,2,24:28,1,0,1,10-93,2.4,27,64,7.9,18-31,245,308,2-3,5-14,19,38,0,2,1,0,28,1,2,0
401520177,2023,1,regular,UTEP,Conference USA,home,28,2,2,22,0,1,4,0,0,1,0,,35:32,0,0,0,10-102,6.6,50,329,7.2,10-13,94,423,0-0,6-9,25,,,,4,0,34,2,0,5
401520145,2023,1,regular,Jacksonville State,Conference USA,home,17,2,0,,,,5,1,0,2,1,0,25:22,0,0,0,4-52,4.7,44,208,3.4,10-20,67,275,1-2,7-16,15,1,0,1,3,0,28,2,4,3
401520145,2023,1,regular,UTEP,Conference USA,away,14,1,1,,,,2,,,,0,1,34:38,2,1,3,5-55,3.6,43,156,7.2,17-29,208,364,1-3,3-12,22,5,0,1,4,0,33,1,2,2
401520172,2023,1,regular,SMU,American Athletic,home,38,1,3,,,,8,16,1,1,0,,33:59,0,0,0,6-42,5.1,41,209,6.5,23-38,248,457,3-4,7-19,24,19,0,2,11,1,35,6,3,3
401520172,2023,1,regular,Louisiana Tech,Conference USA,away,14,1,1,51,0,3,2,,,,0,,26:01,1,0,1,5-54,1.2,24,28,7.3,21-33,241,269,0-2,5-14,11,11,0,2,4,0,49,0,1,6
401520146,2023,1,regular,Florida International,Conference USA,away,17,2,0,,,,5,17,0,1,1,0,21:42,1,0,1,5-50,5.9,30,178,0.3,5-14,4,182,0-0,3-12,8,,,,8,0,45,2,1,0
401520146,2023,1,regular,Louisiana Tech,Conference USA,home,22,1,1,25,0,1,10,0,0,1,0,2,38:18,1,1,2,5-47,2.9,39,114,7.6,34-44,333,447,1-1,8-16,27,0,0,1,6,0,14,2,0,1
401520153,2023,1,regular,Maine,Coastal Athletic,away,12,1,0,17,0,1,6,0,0,1,2,3,37:35,0,1,1,5-50,4.0,41,165,4.8,21-44,213,378,1-3,5-15,27,,,,,,,,,
401520153,2023,1,regular,Florida International,Conference USA,home,14,0,2,44,0,2,2,,,,1,3,22:25,1,2,3,8-79,0.5,24,13,9.7,15-30,292,305,0-3,3-12,12,34,0,2,,,,,,
401540115,2023,1,regular,Southern,SWAC,away,10,0,1,32,0,2,4,,,,0,2,30:44,2,2,4,6-50,2.6,27,69,4.7,17-35,166,235,4-5,4-14,15,,,,,,,,,
401540115,2023,1,regular,Alabama State,SWAC,home,14,0,2,,,,2,-4,0,2,2,0,29:16,0,0,0,4-20,2.3,37,86,8.6,15-21,180,266,0-2,5-13,13,31,0,1,,,,,,
401520149,2023,1,regular,Alabama,SEC,home,56,5,3,23,0,1,8,13,0,1,1,1,29:03,0,0,0,2-19,5.1,40,205,9.4,17-24,226,431,0-0,10-13,23,67,0,6,7,0,36,3,6,1
401520149,2023,1,regular,Middle Tennessee,Conference USA,away,7,0,1,21,0,2,1,,,,0,3,30:57,1,1,2,9-84,3.0,26,78,3.8,24-35,133,211,0-0,6-16,13,,,,4,0,42,2,1,2
401531337,2023,1,regular,Tulsa,American Athletic,home,42,2,4,50,0,1,6,-3,0,1,0,2,26:55,2,1,3,4-44,5.3,49,260,12.9,16-20,257,517,0-0,5-9,26,35,0,3,12,0,34,4,1,0
401531337,2023,1,regular,Arkansas-Pine Bluff,SWAC,away,7,1,0,45,0,3,1,23,0,2,1,0,33:05,1,0,1,4-37,2.4,43,102,5.8,15-26,150,252,0-1,5-16,18,3,0,1,8,0,43,2,0,0
401540155,2023,1,regular,Hampton,Coastal Athletic,home,35,3,2,54,0,5,5,,,,0,1,32:45,2,0,2,10-86,5.9,47,279,7.4,14-21,155,434,1-1,6-13,26,19,0,1,,,,,,
401540155,2023,1,regular,Grambling,SWAC,away,31,2,2,68,0,6,3,21,0,2,0,,27:15,0,0,0,9-85,3.4,29,100,8.2,25-38,311,411,0-0,7-13,19,2,0,1,,,,,,
401540148,2023,1,regular,Florida A&M,SWAC,home,28,1,2,130,1,3,4,,,,2,0,30:59,0,0,0,6-50,5.3,39,208,6.8,12-22,150,358,0-1,6-13,18,95,0,3,,,,,,
401540148,2023,1,regular,Jackson State,SWAC,away,10,0,1,81,0,3,4,,,,0,3,29:01,0,2,2,4-30,2.3,32,72,6.8,20-34,231,303,3-4,2-14,17,5,0,1,,,,,,
401539999,2023,1,regular,South Carolina State,MEAC,away,7,0,1,45,0,2,1,,,,1,0,26:49,1,0,1,9-69,4.0,34,137,2.8,8-23,64,201,0-1,6-14,14,,,,,,,,,
401539999,2023,1,regular,Jackson State,SWAC,home,37,1,3,14,0,2,13,0,0,1,0,2,33:11,0,1,1,5-55,4.2,33,138,11.9,26-30,356,494,1-1,3-9,24,,,,,,,,,
401532573,2023,1,regular,San José State,Mountain West,home,17,1,1,16,0,2,5,,,,0,3,28:05,0,1,1,5-40,2.5,22,56,5.5,25-42,232,288,2-3,4-13,20,7,0,1,3,0,41,1,1,2
401532573,2023,1,regular,Oregon State,Pac-12,away,42,3,3,16,0,2,6,,,,1,0,31:55,0,0,0,9-76,5.6,35,197,9.9,22-28,276,473,0-1,5-8,27,8,0,1,5,0,32,3,1,6
401523990,2023,1,regular,Colorado State,Mountain West,home,24,0,2,98,1,1,6,,,,2,0,22:20,2,0,2,4-40,1.9,20,37,7.3,28-44,320,357,1-3,5-14,18,-3,0,1,,,,,,
401523990,2023,1,regular,Washington State,Pac-12,away,50,3,3,5,0,1,8,37,1,2,0,3,37:40,0,2,2,3-20,2.4,37,90,9.3,38-50,466,556,0-2,11-17,30,31,0,3,,,,,,
401531837,2023,1,regular,Bucknell,Patriot,away,3,0,0,,,,3,6,0,1,0,1,32:07,0,1,1,7-70,1.8,34,62,6.3,15-23,146,208,0-1,3-15,9,9,0,1,5,0,35,1,0,4
401531837,2023,1,regular,James Madison,Sun Belt,home,38,3,2,,,,8,,,,1,1,27:53,1,0,1,4-25,6.4,41,261,7.3,12-24,175,436,0-2,5-12,22,94,0,6,9,0,33,3,0,1
401531838,2023,1,regular,UAlbany,Coastal Athletic,away,17,1,1,,,,5,12,0,1,0,1,35:09,0,0,0,5-47,2.9,36,106,5.1,22-38,194,300,2-4,4-16,19,,,,3,0,34,0,2,2
401531838,2023,1,regular,Marshall,Sun Belt,home,21,2,1,54,0,3,3,,,,0,1,24:51,1,0,1,5-54,5.6,26,145,7.7,28-35,268,413,1-3,1-10,21,-2,0,2,10,0,29,7,20,1
401540166,2023,1,regular,Texas Southern,SWAC,home,34,1,3,121,0,7,10,0,0,1,1,1,24:09,3,1,4,6-58,7.1,28,200,7.5,18-38,286,486,0-0,4-11,20,25,0,4,,,,,,
401540166,2023,1,regular,Prairie View A&M,SWAC,away,37,2,2,121,0,7,13,23,0,3,1,1,35:51,1,1,2,3-41,3.4,53,180,8.3,20-33,275,455,1-2,9-20,27,,,,,,,,,
401523996,2023,1,regular,Nevada,Mountain West,away,14,1,1,68,0,4,2,,,,1,2,35:59,0,1,1,4-49,1.3,38,49,9.1,22-34,311,360,2-4,5-19,12,,,,3,0,31,1,0,2
401523996,2023,1,regular,USC,Pac-12,home,66,2,6,42,0,3,12,,,,1,2,24:01,0,1,1,8-75,10.8,20,215,13.3,25-34,453,668,1-1,2-6,27,12,0,1,10,0,44,5,1,3
401523986,2023,1,regular,San José State,Mountain West,away,28,1,3,53,0,3,4,,,,0,1,31:02,0,0,0,3-21,7.3,27,198,5.1,21-39,198,396,0-1,5-13,23,,,,4,0,46,2,1,2
401523986,2023,1,regular,USC,Pac-12,home,56,3,4,96,1,1,8,,,,0,,28:58,0,0,0,8-57,4.7,34,160,9.7,24-35,341,501,1-2,9-13,25,66,0,3,7,1,41,1,1,4
