id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,home_pregame_offense_ppa,home_pregame_offense_successRate,home_pregame_offense_explosiveness,home_pregame_defense_ppa,home_pregame_defense_successRate,home_pregame_defense_explosiveness,away_pregame_offense_ppa,away_pregame_offense_successRate,away_pregame_offense_explosiveness,away_pregame_defense_ppa,away_pregame_defense_successRate,away_pregame_defense_explosiveness
401207124,2020,3,regular,2020-09-19 16:00:00+00:00,False,True,False,False,4276.0,3796.0,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,24.0,"[0, 10, 7, 7]",0.3407499434847815,1480.0,1462.0,2335,Liberty,fbs,FBS Independents,30.0,"[10, 7, 7, 6]",0.6592500565152185,1390.0,1408.0,5.9776053659,https://www.youtube.com/watch?v=MyVKtxdkIOI,,,-0.060417736461287,0.3448275862068966,1.0588569978903877,0.3545534897905886,0.4027777777777778,1.5218587999249091,,,,,,
401234571,2020,3,regular,2020-09-19 16:00:00+00:00,False,True,False,True,0.0,3752.0,Acrisure Stadium,221,Pittsburgh,fbs,ACC,21.0,"[7, 7, 7, 0]",0.9854181706469384,1503.0,1518.0,183,Syracuse,fbs,ACC,10.0,"[3, 7, 0, 0]",0.0145818293530615,1433.0,1418.0,3.715638939,https://www.youtube.com/watch?v=8GPQR_kvbsM,,,0.4607115268708761,0.5873015873015873,1.2421642376741122,-0.1095750667189323,0.2222222222222222,1.2673590270506638,-0.2294537061463874,0.2465753424657534,1.0334440561618574,0.3283403725195702,0.4428571428571428,1.35367599390908
401212522,2020,3,regular,2020-09-19 16:00:00+00:00,False,True,False,True,,4729.0,Yulman Stadium,2655,Tulane,fbs,American Athletic,24.0,"[10, 14, 0, 0]",0.0723474471043792,1521.0,1511.0,2426,Navy,fbs,American Athletic,27.0,"[0, 0, 16, 8]",0.9276525528956208,1438.0,1448.0,4.6042706648,https://www.youtube.com/watch?v=LVI5o_-jevU,,,0.0789030914075307,0.391304347826087,1.3726739908028616,0.1322985468664005,0.375,1.537543653047474,-0.2502112278054518,0.2340425531914893,0.9167480495235628,0.4617456990001867,0.6056338028169014,1.2009214668615111
401215301,2020,3,regular,2020-09-19 16:00:00+00:00,False,True,False,True,4126.0,4246.0,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,31.0,"[7, 7, 7, 7, 3]",0.3222465789124114,1305.0,1322.0,309,Louisiana,fbs,Sun Belt,34.0,"[0, 7, 14, 7, 6]",0.6777534210875886,1693.0,1676.0,10.516580686,https://www.youtube.com/watch?v=OCBawXf_fu8,,,,,,,,,0.1731933124444138,0.3928571428571428,1.2539432196757891,0.1116685759526562,0.4507042253521127,1.100786815236855
401241282,2020,3,regular,2020-09-19 18:30:00+00:00,False,True,False,False,10085.0,3855.0,Notre Dame Stadium,87,Notre Dame,fbs,FBS Independents,52.0,"[14, 21, 10, 7]",0.9989649902004109,1828.0,1918.0,58,South Florida,fbs,American Athletic,0.0,"[0, 0, 0, 0]",0.0010350097995892,1335.0,1245.0,1.2391030155,https://www.youtube.com/watch?v=DFt9HRKEMjQ,,,0.1780121980482739,0.3888888888888889,1.3144898144603272,0.0180929711212725,0.3181818181818182,1.358344078977359,0.1519488782586848,0.421875,1.3834515576521675,0.0216650588669665,0.3333333333333333,1.2639183098599835
401234568,2020,3,regular,2020-09-19 19:30:00+00:00,False,True,False,False,11000.0,721.0,Bobby Dodd Stadium,59,Georgia Tech,fbs,ACC,21.0,"[7, 7, 0, 7]",0.1142379960012632,1355.0,1325.0,2116,UCF,fbs,American Athletic,49.0,"[7, 21, 0, 21]",0.8857620039987367,1757.0,1787.0,3.0977925754,https://www.youtube.com/watch?v=HM9hGkaFK9Q,,,0.1458542096086563,0.4864864864864865,1.1497430035389764,0.0770936647538025,0.4125,1.0789235111298796,,,,,,
401236939,2020,3,regular,2020-09-19 19:30:00+00:00,False,True,False,False,12050.0,3775.0,Joan C. Edwards Stadium,276,Marshall,fbs,Conference USA,17.0,"[7, 3, 7, 0]",0.9298659550787016,1464.0,1499.0,2026,App State,fbs,Sun Belt,7.0,"[7, 0, 0, 0]",0.0701340449212984,1700.0,1665.0,7.114579305,https://www.youtube.com/watch?v=npkg4iCqwb0,,,0.533292398845916,0.6385542168674698,1.17081845978453,-0.0961557515968052,0.2765957446808511,1.035657407283218,0.3319984144200024,0.5633802816901409,1.0402204736986354,-0.1406637624335149,0.2833333333333333,1.5185442253823471
401240041,2020,3,regular,2020-09-19 19:30:00+00:00,False,True,False,False,6611.0,3604.0,Alamodome,2636,UTSA,fbs,Conference USA,24.0,"[3, 14, 0, 7]",0.915943279772226,,,2617,Stephen F. Austin,fcs,Southland,10.0,"[0, 7, 3, 0]",0.0840567202277738,,,3.7329129012,https://www.youtube.com/watch?v=6vpHXRbmGoc,,,0.2126336105561808,0.3902439024390244,1.3089454647594296,0.1172637396080995,0.4210526315789473,1.3104948442415287,0.1762791474391827,0.4318181818181818,1.2370367546967131,0.1897031057907496,0.3846153846153846,1.5105306987057567
401240640,2020,3,regular,2020-09-19 19:30:00+00:00,False,True,False,False,6000.0,3725.0,"Johnny ""Red"" Floyd Stadium",2393,Middle Tennessee,fbs,Conference USA,14.0,"[7, 0, 0, 7]",0.0048788270381663,1314.0,1229.0,2653,Troy,fbs,Sun Belt,47.0,"[7, 19, 14, 7]",0.9951211729618336,1388.0,1473.0,3.3683983995,https://www.youtube.com/watch?v=9v2L1ymHENg,,,-0.1877981906614416,0.3958333333333333,0.8308695214864722,0.3782783059882901,0.5,1.0788591989087726,,,,,,
401237492,2020,3,regular,2020-09-19 20:00:00+00:00,False,True,False,False,18609.0,3836.0,"Memorial Stadium (Clemson, SC)",228,Clemson,fbs,ACC,49.0,"[28, 21, 0, 0]",0.998309571752246,,,2643,The Citadel,fcs,Southern,0.0,"[0, 0, 0, 0]",0.0016904282477541,,,1.0102957486,https://www.youtube.com/watch?v=1NVx-H7DD-I,,,0.3460182354988196,0.5121951219512195,1.1897809497070888,-0.0399318262631894,0.2957746478873239,1.4882488572783827,0.0216650588669665,0.3333333333333333,1.2639183098599835,0.1519488782586848,0.421875,1.3834515576521675
