rank,n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,mean_log_loss,std_log_loss,mean_brier_score,std_brier_score,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,fold_1_log_loss,fold_1_brier_score,fold_1_roc_auc,fold_1_accuracy,fold_2_log_loss,fold_2_brier_score,fold_2_roc_auc,fold_2_accuracy,fold_3_log_loss,fold_3_brier_score,fold_3_roc_auc,fold_3_accuracy,fold_4_log_loss,fold_4_brier_score,fold_4_roc_auc,fold_4_accuracy
52,350,0.03,3,10,1.0,0.5336247433438405,0.02492382973732695,0.1784406967940712,0.010347379838729968,0.7889658155648069,0.02506076964005574,0.7303312520745274,0.013372340508144915,0.6967359450243884,0.7579049032045941,0.8333845563637352,0.5028128309613134,0.16608217081987112,0.808694934829236,0.7393867924528302,0.5295419958383307,0.17695051563013436,0.8067039655875283,0.7361623616236163,0.5297421912102678,0.17594629436108325,0.7937522835221046,0.7385159010600707,0.5724019553654501,0.19478380636519613,0.7467120783203586,0.7072599531615925
53,350,0.03,2,3,1.0,0.5336544535901784,0.025183426834952553,0.17837689119669317,0.010491809642908755,0.7881503348091983,0.023747495100314254,0.7316076984361742,0.018626818015803633,0.6972272540998201,0.7571109892329306,0.8386415290448668,0.5000689037655265,0.1645970335323988,0.8087835401809993,0.7558962264150944,0.5362025850913457,0.17953642876942433,0.7999493934239565,0.7306273062730627,0.527717660551544,0.17548251339164847,0.7960682169080816,0.7361601884570083,0.5706286649522972,0.19389158909330106,0.7478001887237556,0.7037470725995316
54,200,0.05,2,10,1.0,0.5337500392827622,0.024847574596536998,0.1783464680896263,0.010395929194987871,0.7877966610475129,0.024376485916538293,0.7342129037376138,0.018809302533874816,0.6990728955996546,0.7573555860488356,0.844402790276043,0.502749974059687,0.16557129324490216,0.8061803760533343,0.7594339622641509,0.5321056897286299,0.17818024606981098,0.8034285955269411,0.7269372693726938,0.528014696762575,0.17519093213785708,0.7954465095996323,0.7420494699646644,0.572129796580157,0.1944434009059349,0.7461311630101439,0.7084309133489461
55,200,0.05,2,5,1.0,0.5337688921646431,0.025019011811857512,0.1782814829507502,0.010437960247476306,0.7877285885852552,0.02396053232237168,0.7352575671699204,0.017032763348931525,0.7007539289813148,0.7590192421224139,0.84315395036957,0.5010873126885271,0.164890924224267,0.8077294420307124,0.7582547169811321,0.5351328846256381,0.17919613956516933,0.8005046600222108,0.7287822878228782,0.5277083156599852,0.17508979111781275,0.7957941942555423,0.7420494699646644,0.5711470556844218,0.19394907689575167,0.7468860580325549,0.711943793911007
56,350,0.03,2,10,1.0,0.5337734854011191,0.025266913676110034,0.17844148999210607,0.0105075028584352,0.7881424457284786,0.02452677638736376,0.7323146382463216,0.015560839120903728,0.6984156014227556,0.7579039607887396,0.8388477656394882,0.5012911447763944,0.16502800773007176,0.8074025188362757,0.7523584905660378,0.5328478707413176,0.1784322315435978,0.8037308292449781,0.7287822878228782,0.5288018690058656,0.17588938667180384,0.7950605207019694,0.7385159010600707,0.5721530570808988,0.19441633402295094,0.7463759141306912,0.7096018735362998
57,750,0.03,2,3,0.75,0.5337781126190858,0.023028634570489953,0.17842439244317837,0.009699802175895222,0.7902513837220669,0.022517392856054457,0.731316670219565,0.019280635620769704,0.6977415286977136,0.7576483330955167,0.8366380513355395,0.5071145072696998,0.16766829731318325,0.8052454368243842,0.75,0.5346784294431416,0.1787101125293861,0.8035621406581667,0.7306273062730627,0.5234472591456878,0.17351672401090273,0.8008533006470471,0.7444051825677267,0.569872254617814,0.1938024359192414,0.7513446567586696,0.7002341920374707
58,500,0.03,3,10,0.75,0.5339646694428505,0.025196350964899222,0.1785904295547675,0.010639493464219682,0.7899690784521123,0.025959329114045734,0.7310547837058836,0.020361564509505936,0.7006047528502601,0.7635596125035529,0.8235874349935122,0.5111232958217019,0.16936802103084606,0.8033388940829957,0.7452830188679245,0.5268518888208251,0.17545262598355585,0.8092413230808159,0.7472324723247232,0.5213874480568033,0.17290653052502675,0.8020436786215187,0.734982332155477,0.5764960450720716,0.1966345406796414,0.7452524180231186,0.6967213114754098
59,200,0.05,2,3,1.0,0.5340029343740567,0.025294405186882103,0.17837395210559462,0.01055432378703649,0.7878173873453813,0.02419103440721188,0.7351343712265903,0.017843889594856933,0.7006935879274628,0.7590087779266834,0.8430530490902869,0.5007014253746711,0.16483588164037197,0.8085910526926862,0.7558962264150944,0.5361701089402181,0.17951335436280214,0.8001251107018851,0.7306273062730627,0.5276513060318752,0.17497813310203975,0.7958796421794524,0.7455830388692579,0.5714888971494623,0.19416843931716465,0.7466737438075018,0.7084309133489461
60,750,0.03,2,5,1.0,0.5342573552749493,0.023804002665137994,0.17860991842398175,0.009898740304571666,0.7879936112281871,0.023092217372679087,0.7273633483924637,0.016231729949734257,0.6937575533299871,0.7553834892466411,0.8318171582446128,0.5031042193791821,0.1659998942384774,0.8079891473720875,0.7464622641509434,0.533853447542719,0.17881403193267487,0.8012356438983932,0.7195571955719557,0.5300619233909237,0.17598302222554194,0.7937964807241269,0.7385159010600707,0.5700098307869722,0.19364272529923274,0.7489531729181411,0.7049180327868853
61,200,0.03,4,3,1.0,0.5342630597764463,0.028588679175137702,0.17854082147143985,0.011690083196838365,0.7871758826527773,0.027625940289368534,0.7288803267292051,0.020413583481290732,0.6944661157293203,0.7559637940056517,0.8339685524805214,0.5016135886546002,0.1654636924930065,0.8076958331041817,0.7476415094339622,0.5320419726601723,0.17749380524715008,0.8036956857893923,0.7361623616236163,0.5234994807671849,0.17388156956467307,0.7975768147371152,0.7373380447585395,0.5798971970238278,0.19732421858092974,0.73973519698042,0.6943793911007026
