iteration,model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__bootstrap,mean_log_loss,std_log_loss,min_log_loss,max_log_loss,mean_brier_score,std_brier_score,min_brier_score,max_brier_score,mean_roc_auc,std_roc_auc,min_roc_auc,max_roc_auc,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,rank
30,1000,5,15,1.0,,True,0.5363631063564781,0.03576142962430496,0.49568407919359725,0.5932875400818043,0.17956618948619785,0.015091463100661867,0.16284343106314475,0.20377335518726936,0.7863800691678475,0.033972833954574864,0.7285562632696392,0.8159025218916326,0.7243244945650669,0.029081388907821755,0.6744730679156908,0.7455830388692579,0.6918056692955377,0.029619097611715387,0.6406286860108517,0.7122172708998131,30
6,750,30,25,0.5,8.0,False,0.5364132122260479,0.03127518299628575,0.5004203941340445,0.5856330006820383,0.17931427950749657,0.013266223105508557,0.16479030906857317,0.20062831367089626,0.785633055637746,0.03204633887406715,0.7307029959896202,0.8114355900199821,0.7251598146024927,0.025925192177154523,0.6814988290398126,0.7476415094339622,0.6923358014361486,0.028503327275592225,0.6435185185185186,0.715008524445911,31
15,1000,10,20,0.5,8.0,False,0.5368880042911244,0.03203305545843366,0.5009685027007167,0.5878882118669408,0.17945761456324089,0.01361945334966466,0.16477452301879883,0.2014698590730904,0.7850130097349048,0.032920953495810416,0.7285562632696392,0.8113683721669203,0.725288182631456,0.02637817990043099,0.6814988290398126,0.75,0.6920075611846328,0.027985133818674304,0.6441849492804907,0.7152712851442434,32
49,1000,5,25,0.5,16.0,False,0.5369642388778534,0.03358782911721204,0.4985126615289391,0.5899845350503496,0.17977429125223005,0.014181201774655629,0.16442440091248917,0.20264758203097627,0.7855150935479305,0.033593733742428654,0.7280667610285444,0.8133604649031146,0.7221064646244335,0.03134401746027822,0.6686182669789227,0.7476415094339622,0.6894443399472998,0.033858656399746924,0.6313340410474169,0.715008524445911,33
3,500,2,20,0.5,,False,0.5373662520511703,0.03450703444396579,0.4996661143669081,0.5929481015559506,0.18002458467058144,0.014546209554193409,0.16489166730888305,0.20379204390399097,0.7852472145647502,0.034361159079215484,0.7263446567586695,0.8128410542203646,0.7212652685790675,0.029031296012895218,0.6733021077283372,0.7464622641509434,0.6884173562526368,0.030377010371035695,0.6363706062750649,0.7125489620952417,34
14,1000,2,20,0.5,,False,0.5374059614513245,0.0345133163712496,0.4988929990453504,0.5925107558054059,0.17997419684059887,0.01451479091809285,0.16461347080886712,0.20354982164289245,0.7852774379341193,0.03427730454296237,0.7266336400094362,0.8135193434648971,0.7238663529625526,0.02969296825514521,0.6733021077283372,0.7476415094339622,0.690897833269364,0.0315913265712507,0.6363706062750649,0.7126803424444077,35
21,750,30,10,0.5,8.0,False,0.5376065068298619,0.030982922560002412,0.5037728010087137,0.5870439424791836,0.17945859503403372,0.013263807113145782,0.16551062749229264,0.2009354812819921,0.7846986521255227,0.03289828570456786,0.7282613824015098,0.810830629342426,0.7258310976691001,0.024595300199725858,0.6861826697892272,0.75,0.6923655045310833,0.027337319085655495,0.6458893606982778,0.7160473458114112,36
20,500,30,5,0.75,16.0,True,0.5379334851358083,0.03223581224213996,0.5008097320329029,0.5891894078662764,0.17985248534548187,0.013762823068800285,0.16403754653083524,0.2016313835514137,0.7853418837852676,0.03192833553588838,0.731033262561925,0.8132749149083087,0.7232331357272102,0.02762317085367623,0.6768149882903981,0.7476415094339622,0.691288612884571,0.02856935872096289,0.6424805378627034,0.7142324637787433,37
46,750,5,5,0.5,30.0,True,0.5384221913656995,0.03287483070505694,0.49970134638431435,0.5901503668485344,0.1799329341467075,0.013889660743771785,0.16415201309900165,0.20204568771665946,0.7850817228700007,0.03319795178013623,0.7288039631988676,0.8149614719487678,0.7245355863851224,0.030555287128319113,0.6721311475409836,0.7488207547169812,0.6926880518345646,0.034201476462235876,0.6347782495871668,0.7182689739516708,38
9,750,5,5,0.25,12.0,False,0.539018237893516,0.027730588740029902,0.5054392401889228,0.5812041338496381,0.18035825384174362,0.011860111505986476,0.16633706670343984,0.19857560425574816,0.783480103011901,0.029391574500671674,0.733834630809153,0.8104517650797142,0.7216231110579886,0.02061396088114338,0.689695550351288,0.7429245283018868,0.6879668920036753,0.022550589718535276,0.65,0.7090505783790719,39
