split,season_phase,feature_group,relative_feature,phase_feature,N,phase_weight,raw_mean,raw_mean_abs,raw_median_abs,raw_std,phase_mean,phase_mean_abs,phase_median_abs,phase_std,mean_abs_attenuation
validation,Late,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,805,0.33,2.1280745341614917,62.23018633540372,52.599999999999994,78.61281295115917,0.7022645962732919,20.53596149068323,17.358,25.942228273882527,0.33000000000000007
validation,Late,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,805,0.33,0.16186335403726682,38.74198757763975,31.799999999999997,49.75251911426331,0.0534149068322982,12.78485590062112,10.494,16.418331307706893,0.33000000000000007
validation,Late,Total Usage,returning_usage_diff,returning_usage_diff_phase,805,0.33,0.0048708074534161505,0.2529403726708075,0.22299999999999998,0.31033454617913214,0.0016073664596273297,0.08347032298136645,0.07358999999999999,0.1024104002391136,0.3299999999999999
validation,Late,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,805,0.33,0.013653416149068327,0.43247577639751555,0.38,0.5470810402089451,0.004505627329192547,0.14271700621118014,0.1254,0.18053674326895192,0.33
validation,Late,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,805,0.33,0.0037962732919254636,0.2140521739130435,0.18600000000000005,0.2673615803789155,0.0012527701863354044,0.07063721739130435,0.06138000000000002,0.0882293215250421,0.33
validation,Late,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,805,0.33,-0.0021602484472049697,0.2734024844720497,0.237,0.3403308463613206,-0.0007128819875776388,0.09022281987577639,0.07821,0.11230917929923581,0.33
test,Early,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,264,1.0,14.81420454545455,92.49261363636363,69.375,117.09360842490766,14.81420454545455,92.49261363636363,69.375,117.09360842490766,1.0
test,Early,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,264,1.0,11.102462121212122,43.53428030303031,24.125,60.60586332047298,11.102462121212122,43.53428030303031,24.125,60.60586332047298,1.0
test,Early,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,264,1.0,6.6617424242424255,48.64734848484849,44.849999999999994,59.78916898997133,6.6617424242424255,48.64734848484849,44.849999999999994,59.78916898997133,1.0
test,Early,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,264,1.0,3.1195075757575754,26.546022727272724,21.974999999999998,35.43000742297887,3.1195075757575754,26.546022727272724,21.974999999999998,35.43000742297887,1.0
test,Early,Total Usage,returning_usage_diff,returning_usage_diff_phase,264,1.0,0.01978030303030304,0.22298484848484848,0.19599999999999998,0.2714428092582426,0.01978030303030304,0.22298484848484848,0.19599999999999998,0.2714428092582426,1.0
test,Early,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,264,1.0,0.026234848484848493,0.3741742424242424,0.2955,0.4773990186033849,0.026234848484848493,0.3741742424242424,0.2955,0.4773990186033849,1.0
test,Early,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,264,1.0,0.019636363636363622,0.18993939393939396,0.16699999999999998,0.23874979418627557,0.019636363636363622,0.18993939393939396,0.16699999999999998,0.23874979418627557,1.0
test,Early,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,264,1.0,0.02867234848484849,0.24357765151515154,0.22149999999999997,0.30316079765115816,0.02867234848484849,0.24357765151515154,0.22149999999999997,0.30316079765115816,1.0
test,Mid,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,212,0.67,11.597169811320752,106.08066037735848,82.85,136.11914087768508,7.770103773584908,71.07404245283018,55.5095,91.19982438804902,0.67
test,Mid,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,212,0.67,4.536320754716981,53.79481132075472,38.575,71.36968239768142,3.0393349056603776,36.04252358490566,25.84525,47.81768720644656,0.6699999999999999
test,Mid,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,212,0.67,3.1778301886792466,51.1683962264151,45.099999999999994,63.74109530976513,2.129146226415095,34.28282547169811,30.217,42.706533857542645,0.6699999999999999
test,Mid,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,212,0.67,5.05188679245283,30.717924528301886,25.500000000000004,39.27705993555826,3.384764150943396,20.58100943396227,17.085,26.31563015682404,0.6700000000000002
test,Mid,Total Usage,returning_usage_diff,returning_usage_diff_phase,212,0.67,0.03535849056603774,0.26207547169811324,0.22399999999999998,0.3151417401314308,0.023690188679245286,0.17559056603773587,0.15008,0.21114496588805864,0.67
test,Mid,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,212,0.67,0.05749528301886792,0.44246698113207544,0.356,0.5556196532069194,0.03852183962264152,0.2964528773584906,0.23852,0.372265167648636,0.67
test,Mid,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,212,0.67,0.010825471698113211,0.18892924528301885,0.15800000000000003,0.24467485477953763,0.007253066037735852,0.12658259433962266,0.10586000000000002,0.1639321527022902,0.6700000000000002
test,Mid,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,212,0.67,0.031457547169811334,0.25437264150943395,0.22225,0.31611656181489567,0.021076556603773586,0.17042966981132077,0.14890750000000003,0.2117980964159801,0.67
test,Late,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,412,0.33,4.656189320388348,104.86298543689321,82.87500000000001,135.57652229770008,1.5365424757281552,34.60478519417476,27.348750000000006,44.74025235824102,0.33
test,Late,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,412,0.33,1.488228155339806,53.62973300970873,42.7,70.32239557725529,0.49111529126213616,17.697811893203884,14.091000000000001,23.206390540494247,0.33000000000000007
test,Late,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,412,0.33,2.210194174757282,51.19951456310679,42.4,64.42897478000934,0.7293640776699029,16.895839805825243,13.992,21.261561677403083,0.33000000000000007
test,Late,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,412,0.33,1.2222087378640778,30.787257281553398,22.7,39.980007908151855,0.4033288834951455,10.15979490291262,7.4910000000000005,13.19340260969011,0.32999999999999996
test,Late,Total Usage,returning_usage_diff,returning_usage_diff_phase,412,0.33,0.0012985436893203919,0.2661140776699029,0.24150000000000002,0.327413621450385,0.00042851941747572894,0.08781764563106798,0.07969500000000002,0.10804649507862704,0.33000000000000007
test,Late,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,412,0.33,-0.005703883495145627,0.4610825242718446,0.436,0.5747474381828745,-0.0018822815533980578,0.15215723300970876,0.14388,0.18966665460034857,0.3300000000000001
test,Late,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,412,0.33,0.007582524271844661,0.2031553398058252,0.17099999999999999,0.25300031348458096,0.002502233009708738,0.06704126213592233,0.056429999999999994,0.08349010344991173,0.33000000000000007
test,Late,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,412,0.33,0.006624999999999994,0.2775084951456311,0.24050000000000002,0.34422431509967366,0.0021862500000000003,0.09157780339805825,0.079365,0.11359402398289231,0.32999999999999996
