feature_1,feature_2,correlation,absolute_correlation
pointDifferentialTrendDiff,penaltyYardsAvgDiff,0.007605996648369119,0.007605996648369119
totalYardsTrendDiff,thirdDownPctDiff,-0.007591122356378768,0.007591122356378768
pointDifferentialAvgDiff,pointsAgainstTrendDiff,0.007343467849434779,0.007343467849434779
pointsForAvgDiff,pointsAgainstTrendDiff,-0.007135231230397173,0.007135231230397173
yardsPerPassAttemptDiff,pointsAgainstTrendDiff,-0.006498319482009422,0.006498319482009422
winPctDiff,netPassingYardsTrendDiff,-0.005672548813029341,0.005672548813029341
netPassingYardsTrendDiff,completionPctDiff,-0.005634265498110556,0.005634265498110556
yardsPerRushAttemptDiff,pointsForTrendDiff,-0.004663339797574711,0.004663339797574711
pointsForTrendDiff,sacksAvgDiff,-0.004438091692380847,0.004438091692380847
pointsForTrendDiff,thirdDownPctDiff,-0.004056977540036842,0.004056977540036842
priorSOSWinPctDiff,penaltyYardsAvgDiff,0.0037512521011860457,0.0037512521011860457
yardsPerPassAttemptDiff,pointDifferentialTrendDiff,0.003283781484902455,0.003283781484902455
winPctTrendDiff,penaltyYardsAvgDiff,-0.0030163769233676812,0.0030163769233676812
netPassingYardsTrendDiff,sacksAvgDiff,-0.002884300627995803,0.002884300627995803
yardsPerRushAttemptDiff,pointDifferentialTrendDiff,0.002495582995528352,0.002495582995528352
pointsAgainstAvgDiff,pointsForTrendDiff,-0.0023162736672931927,0.0023162736672931927
priorSOSWinPctDiff,turnoversAvgDiff,-0.002294853482946759,0.002294853482946759
winPctDiff,totalYardsTrendDiff,0.001942838799826508,0.001942838799826508
netPassingYardsTrendDiff,possessionSecondsAvgDiff,-0.0018247193041782993,0.0018247193041782993
pointDifferentialAvgDiff,pointDifferentialTrendDiff,-0.0016585923526023453,0.0016585923526023453
totalYardsTrendDiff,possessionSecondsAvgDiff,-0.0010119231001771989,0.0010119231001771989
yardsPerRushAttemptDiff,totalYardsTrendDiff,0.0005278226498925982,0.0005278226498925982
